Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Physical Activity Levels,Dietary Habits,Age Group,Occupation and Lifestyle,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Herbal Tea(Recommended),Doshas,Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Complications,Recovery & Maintenance Tips,Cluster_HC,Cluster_GMM
Lupus(Systemic Lupus Erythematosus - SLE),"Fatigue, joint pain, skin rashes (butterfly rash), fever, hair loss, kidney issues","ANA test, complete blood count, urine analysis, ESR test",Mild to Severe,Long-term management,"Autoimmune disorders, kidney disease, arthritis","Immunosuppressants, corticosteroids, herbal anti-inflammatory supplements","Genetic predisposition, hormonal imbalances, infections, stress","UV exposure, pollution, chemical exposure",Low due to joint pain,"Low immunity due to poor diet, inflammatory foods",15-45 years,"Stressful work environments, exposure to sunlight","Ashwagandha, Turmeric, Aloe Vera","Guduchi, Manjistha, Ashwagandha, Turmeric",Guduchi decoction for immune support,"Turmeric-Ginger tea (½ tsp turmeric, 1 tsp grated ginger, warm water)","Pitta, Vata",Pitta-Vata,"Anti-inflammatory diet, hydration, avoiding direct sunlight","Sukhasana, Pranayama, gentle stretching","Immunosuppressants, pain management therapy","Reduce exposure to triggers, maintain a healthy immune system","Kidney disease, heart disease, neurological issues","Avoid sun exposure, eat anti-inflammatory foods",3,2
Rheumatoid Arthritis,"Joint pain, stiffness (especially in the morning), swelling, fatigue, fever, weight loss","Rheumatoid factor (RF) test, anti-CCP test, ESR, CRP, X-ray of joints",Mild to Severe,Long-term management,"Autoimmune diseases, joint disorders, inflammatory conditions","Immunosuppressants, NSAIDs, corticosteroids, herbal anti-inflammatory supplements","Genetic predisposition, smoking, obesity, hormonal imbalances","Pollution, exposure to chemicals, cold weather",Low to moderate (due to pain),"High-inflammatory foods, gluten sensitivity",30-60 years,Sedentary or physically demanding jobs worsening joint pain,"Ashwagandha, Shallaki, Turmeric, Ginger","Guduchi, Nirgundi, Guggulu, Ashwagandha",Guggulu powder with warm water (1 tsp daily),"Turmeric-Ginger tea (½ tsp turmeric, 1 tsp grated ginger, warm water)","Pitta, Vata",Pitta-Vata,"Anti-inflammatory diet, omega-3-rich foods, warm oil massages","Gentle stretching, Surya Namaskar, Sukhasana","Disease-modifying drugs, physiotherapy","Avoid smoking, maintain healthy weight","Joint deformities, osteoporosis, cardiovascular disease","Warm oil massages, avoid cold exposure",3,0
Multiple Sclerosis,"Numbness, muscle weakness, vision problems, fatigue, dizziness, difficulty walking","MRI, spinal tap, evoked potential tests, blood tests",Mild to Severe,Long-term management,"Autoimmune disorders, neurological conditions","Immunomodulators, corticosteroids, muscle relaxants, Ayurvedic nerve tonics","Genetic predisposition, viral infections, vitamin D deficiency","Low sun exposure, pollution, cold weather",Low (due to muscle weakness),"Deficiency in vitamin D, B12, processed food consumption",20-50 years,"Stressful jobs, sedentary lifestyle","Brahmi, Ashwagandha, Turmeric, Shatavari","Brahmi, Guduchi, Ashwagandha, Jyotishmati",Brahmi tea for brain health,"Brahmi-Ginger tea (Brahmi leaves, 1 tsp grated ginger, warm water)","Vata, Pitta",Vata-Pitta,"Anti-inflammatory diet, vitamin D supplementation, mindfulness","Pranayama, gentle stretching, meditation","Immunotherapy, physical therapy","Vitamin D intake, regular exercise","Paralysis, cognitive issues, mobility problems","Vitamin D-rich diet, stress management",2,2
Celiac Disease,"Abdominal pain, bloating, diarrhea, weight loss, fatigue, skin rashes","Blood test for anti-tTG antibodies, endoscopy with biopsy",Mild to Severe,Lifelong gluten-free diet,"Autoimmune diseases, IBS, malabsorption issues","Nutritional supplements, probiotics, Ayurvedic digestive tonics","Genetic predisposition, gluten sensitivity, type 1 diabetes","Gluten exposure, processed food consumption",Moderate,"Gluten-rich diet, poor gut health",All ages,Any; dietary challenges in social settings,"Triphala, Aloe Vera, Licorice","Triphala, Yashtimadhu, Musta, Kutaja",Triphala powder for digestion (1 tsp with warm water),"Fennel-Mint tea (1 tsp fennel seeds, fresh mint leaves, warm water)","Pitta, Vata",Pitta-Vata,"Gluten-free diet, probiotic-rich foods, gut healing herbs","Vajrasana after meals, gentle yoga for digestion","Gluten-free diet, nutritional therapy","Avoid gluten, maintain gut health","Malnutrition, osteoporosis, infertility","Avoid wheat, barley, rye; prefer millet, rice",5,0
Chronic Fatigue Syndrome/ Myalgic Encephalomyelitis (ME),"Persistent fatigue, muscle and joint pain, brain fog, unrefreshing sleep, headaches","Clinical evaluation, exclusion of other conditions, tilt table test",Mild to Severe,Long-term management,"Viral infections, autoimmune disorders, depression, fibromyalgia","Antidepressants, pain relievers, herbal adaptogens","Viral infections (Epstein-Barr virus), stress, hormonal imbalances","Pollution, mold exposure, lifestyle factors",Low due to fatigue,"Deficiencies in magnesium, vitamin B12, iron",20-50 years,"Stressful jobs, lack of physical activity","Ashwagandha, Shatavari, Brahmi, Ginseng","Ashwagandha, Guduchi, Brahmi, Triphala",Ashwagandha milk (½ tsp in warm milk at bedtime),"Tulsi-Ginger tea (Tulsi leaves, 1 tsp grated ginger, warm water)","Vata, Pitta",Vata-Pitta,"Balanced diet, proper hydration, light stretching","Restorative yoga, Pranayama, gentle walks","Cognitive behavioral therapy, graded exercise therapy","Stress management, proper nutrition","Depression, sleep disorders, reduced quality of life","Prioritize rest, avoid overexertion",2,1
Fibromyalgia,"Chronic widespread pain, fatigue, brain fog, sleep disturbances, headaches","Tender point exam, blood tests to rule out other conditions",Mild to Severe,Long-term management,"Autoimmune disorders, chronic pain conditions, CFS","Pain relievers, antidepressants, muscle relaxants, Ayurvedic nerve tonics","Trauma, stress, genetic predisposition, infections","Cold weather, sedentary lifestyle, exposure to toxins",Low due to pain,"High-inflammatory foods, poor gut health",30-60 years,Sedentary or high-stress jobs,"Ashwagandha, Turmeric, Brahmi, Shankhpushpi","Ashwagandha, Guggulu, Dashmool, Shatavari",Dashmool decoction (1 cup daily),"Chamomile-Turmeric tea (Chamomile flowers, ½ tsp turmeric, warm water)","Vata, Pitta",Vata-Pitta,"Anti-inflammatory diet, stress management techniques","Restorative yoga, stretching, warm oil massages","Pain management therapy, cognitive behavioral therapy","Stress reduction, active lifestyle","Depression, anxiety, sleep disorders","Gentle exercise, warm compress therapy",1,2
Breast Cancer,"Lump in the breast, nipple discharge, skin changes, breast pain, swelling","Mammogram, biopsy, ultrasound, MRI",Early-stage to Advanced,"Months to years, depending on the stage","Family history of cancer, previous tumors, hormone therapy","Chemotherapy, hormone therapy, radiation therapy, herbal immune boosters","Genetic mutations (BRCA1, BRCA2), obesity, hormone imbalances","Radiation exposure, processed food consumption, toxin exposure",Low to moderate,"High-fat diet, processed food intake",30+ years,"Sedentary lifestyle, high stress jobs","Turmeric, Ashwagandha, Green Tea, Amla","Ashwagandha, Guduchi, Manjistha, Tulsi",Amla juice (30ml daily) for immune support,"Green Tea with Tulsi (1 tsp green tea, fresh Tulsi leaves, warm water)","Pitta, Kapha",Pitta-Kapha,"Anti-cancer diet (cruciferous vegetables, antioxidants), stress reduction","Pranayama, gentle stretching, walking","Surgery, chemotherapy, radiation therapy","Regular screening, maintaining a healthy weight","Metastasis, recurrence, emotional distress","Regular check-ups, healthy diet, stress management",3,0
Cervical Cancer,"Irregular bleeding, pelvic pain, pain during intercourse, vaginal discharge with odor","Pap smear, HPV test, biopsy, colposcopy",Mild to Severe (depends on stage),"Months to years, depending on stage and response to treatment","HPV infection, weakened immune system, previous abnormal Pap tests","Chemotherapy, radiation therapy, immunotherapy, Ayurvedic immune boosters","HPV infection, smoking, multiple pregnancies, long-term birth control use","Exposure to pollutants, smoking, poor hygiene",Moderate to low,"Low in antioxidants, high in processed foods",30-60 years,"Sedentary lifestyle, exposure to environmental toxins","Turmeric, Ashwagandha, Tulsi, Neem","Ashwagandha, Guduchi, Manjistha, Tulsi",Manjistha decoction (1 cup daily for detox),"Green Tea with Tulsi (1 tsp green tea, fresh Tulsi leaves, warm water)","Pitta, Kapha",Pitta-Kapha,"High-antioxidant diet, folate-rich foods, stress management","Pranayama, gentle stretching, meditation","Surgery, chemotherapy, radiation therapy","HPV vaccination, routine Pap smears","Spread to other organs, infertility","Regular screenings, healthy diet, lifestyle changes",5,0
Ovarian Cancer,"Bloating, abdominal pain, loss of appetite, frequent urination, fatigue","CA-125 blood test, ultrasound, CT scan, biopsy",Mild to Severe (depends on stage),"Months to years, depending on response","Family history of ovarian/breast cancer, BRCA mutations, endometriosis","Chemotherapy, targeted therapy, hormone therapy, Ayurvedic detox herbs","Genetic mutations (BRCA1, BRCA2), early menstruation, late menopause","Exposure to chemicals, hormone disruptors",Low to moderate,"Low fiber, high-fat diet",40+ years,"Sedentary lifestyle, high-stress jobs","Turmeric, Ashwagandha, Aloe Vera, Triphala","Ashwagandha, Shatavari, Guduchi, Manjistha",Guduchi juice (30ml daily),"Tulsi-Ginger tea (Tulsi leaves, 1 tsp grated ginger, warm water)","Pitta, Kapha",Pitta-Kapha,"High-fiber diet, fresh fruits and vegetables, anti-inflammatory foods","Restorative yoga, walking, stress-relief exercises","Surgery, chemotherapy, targeted therapy","Healthy diet, genetic counseling for high-risk individuals","Spread to other organs, digestive issues","Regular health check-ups, stress management",5,0
Endometrial (Uterine) Cancer,"Abnormal vaginal bleeding, pelvic pain, painful urination, bloating","Endometrial biopsy, transvaginal ultrasound, MRI, CA-125 test",Mild to Severe (depends on stage),Months to years,"Polycystic ovarian syndrome (PCOS), diabetes, obesity, hypertension","Hormone therapy, chemotherapy, radiation, Ayurvedic hormonal balance herbs","Obesity, high estrogen levels, diabetes, long-term hormone therapy","Toxin exposure, poor lifestyle habits",Low to moderate,"High sugar intake, processed food consumption",40+ years,"Sedentary lifestyle, high-stress work environment","Turmeric, Aloe Vera, Ashwagandha, Triphala","Ashwagandha, Shatavari, Guduchi, Manjistha",Aloe Vera juice (30ml daily),"Cinnamon-Fennel tea (½ tsp cinnamon, 1 tsp fennel seeds, warm water)","Kapha, Pitta",Kapha-Pitta,"Low-glycemic diet, high-fiber foods, hormone-balancing nutrition","Gentle yoga, walking, stress relief exercises","Surgery, radiation, chemotherapy","Weight management, hormone regulation","Metastasis, hormonal imbalance, digestive issues","Regular check-ups, healthy eating habits.",5,0
